10,7,-0- ,-0- ,"Panama",-0- 
530,314,"Unt. Batterieweg 35","CH-4008 Basel","Switzerland",-0- 
531,315,-0- ,-0- ,-0- ,-0- 
533,316,-0- ,"Milan","Italy",-0- 
535,317,"Emerson No. 148 Piso 7","11570 Mexico, D.F.","Mexico",-0- 
536,318,-0- ,-0- ,"Spain",-0- 
537,319,-0- ,-0- ,"Panama",-0- 
540,321,-0- ,-0- ,"Spain",-0- 
541,322,-0- ,-0- ,"Panama",-0- 
543,324,-0- ,-0- ,"Panama",-0- 
544,325,-0- ,-0- ,"Panama",-0- 
551,328,-0- ,-0- ,"Panama",-0- 
552,329,"Jose Lazaro Galdeano 6-6","28016 Madrid","Spain",-0- 
554,330,-0- ,"Panama City","Panama",-0- 
555,331,-0- ,"Paris","France",-0- 
558,333,-0- ,-0- ,"Panama",-0- 
559,334,-0- ,-0- ,"Spain",-0- 
560,335,-0- ,"Caracas","Venezuela",-0- 
562,336,-0- ,-0- ,"Panama",-0- 
563,337,-0- ,-0- ,"Panama",-0- 
575,345,"San Martin 323, 4th Floor","Buenos Aires","Argentina",-0- 
576,346,-0- ,-0- ,"Panama",-0- 
577,347,-0- ,-0- ,"Spain",-0- 
578,348,-0- ,"Milan","Italy",-0- 
580,350,-0- ,-0- ,-0- ,-0- 
586,355,-0- ,"Milan","Italy",-0- 
587,356,"Dai-Ichi Bldg. 6th Floor, 10-2 Nihombashi, 2-chome, Chuo-ku","Tokyo 103","Japan",-0- 
589,357,-0- ,"Buenos Aires","Argentina",-0- 
590,358,-0- ,"Cancun","Mexico",-0- 
591,359,-0- ,-0- ,"Spain",-0- 
592,360,-0- ,-0- ,"Spain",-0- 
593,361,-0- ,-0- ,"Italy",-0- 
621,362,"Baja California 255, Edificio B. Oficina 103","Condesa 06500, Mexico, D.F.","Mexico",-0- 
622,363,-0- ,-0- ,"Spain",-0- 
624,364,-0- ,-0- ,"Panama",-0- 
636,365,"1649 Adolfo Prieto, Colonia del Valle","Mexico City","Mexico",-0- 
637,366,"Boezembolcht 23","Rotterdam","Netherlands",-0- 
649,374,"Cubanatur, Baja California 255, Edificio B., Oficina 103","Condesa 06500, Mexico, D.F.","Mexico",-0- 
650,375,-0- ,-0- ,"Panama",-0- 
651,376,"Case Postale 236, 10 Bis Rue Du Vieux College 12-11","Geneva","Switzerland",-0- 
654,378,-0- ,"Panama City","Panama",-0- 
655,379,"Paseo De La Castellana 157","Madrid","Spain",-0- 
656,380,"Jose Lazaro Caldeano, 6-6","28016 Madrid","Spain",-0- 
658,382,-0- ,"Frankfurt","Germany",-0- 
674,392,"Vinales Tours, Oaxaca 80","Roma, Mexico, D.F.","Mexico",-0- 
676,394,-0- ,-0- ,"Panama",-0- 
686,402,-0- ,-0- ,"Panama",-0- 
688,404,-0- ,"London","United Kingdom",-0- 
700,407,-0- ,-0- ,"Panama",-0- 
701,408,-0- ,-0- ,"Spain",-0- 
702,409,-0- ,-0- ,"Panama",-0- 
703,410,"Baja California 255, Edificio B., Oficina 103","Condesa 06500, Mexico, D.F.","Mexico",-0- 
735,438,"32 Main Street","Georgetown","Guyana",-0- 
736,439,"24 Rue Du Quatre Septembre","Paris","France",-0- 
737,440,"Belas Airport","Luanda","Angola",-0- 
738,441,"Dobrininskaya No. 7, Sec 5","Moscow","Russia",-0- 
739,442,"Corrientes 545 Primer Piso","Buenos Aires","Argentina",-0- 
740,443,"Frankfurter TOR 8-A","Berlin","Germany",-0- 
741,444,"1 Place Ville Marie, Suite 3431","Montreal","Canada",-0- 
742,445,"Parizska 17","Prague","Czech Republic",-0- 
743,446,"Paseo de la Republica 126","Lima","Peru",-0- 
744,447,"Piarco Airport","Port au Prince","Haiti",-0- 
745,448,"c/o Anglo-Caribbean Shipping Co. Ltd., Ibex House, The Minories","London  EC3N 1DY","United Kingdom",-0- 
746,449,"Norman Manley International Airport","Kingston","Jamaica",-0- 
747,450,"Melchor Ocampo 469","5DF Mexico City","Mexico",-0- 
748,451,"Calle 29 y Avda Justo Arosemena","Panama City","Panama",-0- 
749,452,"Grantley Adams Airport, Christ Church",-0- ,"Barbados",-0- 
750,453,-0- ,"Madrid","Spain",-0- 
751,454,-0- ,"Paris","France",-0- 
752,455,-0- ,"Milan","Italy",-0- 
753,456,-0- ,"Moscow","Russia",-0- 
754,457,-0- ,"Madrid","Spain",-0- 
755,458,-0- ,"Cologne","Germany",-0- 
756,459,"Downsview","Ontario","Canada",-0- 
757,460,-0- ,"Tokyo","Japan",-0- 
758,461,-0- ,"Buenos Aires","Argentina",-0- 
767,465,"Devonshire House, 1 Devonshire Street","London","United Kingdom",-0- 
768,466,"Kawabe Building, 1-5 Kanda Nishiki-Cho, Chiyoda-Ku","Tokyo","Japan",-0- 
774,471,-0- ,"Medira","Mexico",-0- 
782,479,-0- ,-0- ,"Panama",-0- 
783,480,-0- ,-0- ,"Panama",-0- 
786,483,-0- ,-0- ,"Panama",-0- 
800,495,-0- ,-0- ,-0- ,-0- 
805,496,-0- ,-0- ,-0- ,-0- 
807,497,-0- ,"Cozumel","Mexico",-0- 
815,500,"5250 Ferrier Street","Montreal, Quebec","Canada",-0- 
816,501,-0- ,-0- ,"Panama",-0- 
817,502,"Avenida Insurgentes Sur No. 421, Bloque B Despacho 404","C.P. 06100, Mexico, D.F.","Mexico",-0- 
822,505,"Hanauer Landstr. 126-128, D-6000","Frankfurt am Main 1","Germany",-0- 
881,555,-0- ,-0- ,"Panama",-0- 
885,557,-0- ,-0- ,"Panama",-0- 
892,562,-0- ,-0- ,"Panama",-0- 
895,563,-0- ,"Buenos Aires","Argentina",-0- 
899,566,"Vinales Tours, Oaxaca 80","Roma, Mexico, D.F.","Mexico",-0- 
901,568,-0- ,"Geneva","Switzerland",-0- 
906,571,"20 Ironmonger Lane","London  EC2V 8EY","United Kingdom",-0- 
907,572,"54 Rue Richelieu","Paris","France",-0- 
910,575,-0- ,"Panama City","Panama",-0- 
911,576,-0- ,-0- ,"Panama",-0- 
931,589,-0- ,-0- ,"Panama",-0- 
932,590,-0- ,"Milan","Italy",-0- 
948,602,-0- ,-0- ,-0- ,-0- 
950,603,-0- ,-0- ,-0- ,-0- 
952,604,-0- ,-0- ,-0- ,-0- 
954,606,-0- ,-0- ,-0- ,-0- 
969,619,"20 Ironmonger Lane","London  EC2V 8EY","United Kingdom",-0- 
973,623,-0- ,-0- ,"Panama",-0- 
974,624,-0- ,-0- ,"Spain",-0- 
1042,660,-0- ,-0- ,"Spain",-0- 
1043,661,-0- ,-0- ,"Panama",-0- 
1051,668,-0- ,"Colon Free Zone","Panama",-0- 
1053,670,-0- ,"Colon Free Zone","Panama",-0- 
1067,682,-0- ,-0- ,"Panama",-0- 
1148,741,-0- ,-0- ,"Panama",-0- 
1241,793,-0- ,-0- ,"Panama",-0- 
1251,802,-0- ,"Miami, FL","United States",-0- 
1286,824,-0- ,"Tokyo","Japan",-0- 
1287,825,-0- ,"Pyongyang","Korea, North",-0- 
1288,826,-0- ,"Moscow","Russia",-0- 
1289,827,-0- ,"Barcelona","Spain",-0- 
1290,828,-0- ,"Rostock","Germany",-0- 
1291,829,-0- ,"Genoa","Italy",-0- 
1292,830,-0- ,"Syczecin","Poland",-0- 
1293,831,-0- ,"Rotterdam","Netherlands",-0- 
1294,832,-0- ,-0- ,"Mexico",-0- 
1295,833,-0- ,"Buenos Aires","Argentina",-0- 
1296,834,-0- ,"Montreal","Canada",-0- 
1297,835,-0- ,"Varna","Bulgaria",-0- 
1307,841,-0- ,-0- ,"Panama",-0- 
1310,843,-0- ,-0- ,-0- ,-0- 
1313,845,"Zweierstrasse 35","CH-8022 Zurich","Switzerland",-0- 
1316,848,"San Martin 323, Piso 14","Buenos Aires","Argentina",-0- 
1317,849,"Corrientes 1386, 5th Floor","Buenos Aires","Argentina",-0- 
1318,850,-0- ,-0- ,"Panama",-0- 
1344,866,-0- ,"Quito","Ecuador",-0- 
1355,871,-0- ,-0- ,"Panama",-0- 
1356,872,"20 Ironmonger Lane","London  EC2V 8EY","United Kingdom",-0- 
1357,873,"c/o ANGLO CARIBBEAN SHIPPING CO., LTD., 7th Floor, Ibex House, the Minories","London  EC3N 1DY","United Kingdom",-0- 
1359,874,-0- ,-0- ,"Panama",-0- 
1367,879,-0- ,"Frankfurt","Germany",-0- 
1378,887,-0- ,-0- ,"Panama",-0- 
1381,889,-0- ,-0- ,"Panama",-0- 
1383,890,-0- ,-0- ,"Panama",-0- 
1384,891,"Calle 52 E, Campo Alegre","Panama City","Panama",-0- 
1398,4412,-0- ,-0- ,"Panama",-0- 
1410,910,"Calle C, Edificio 18, Box 4048","Colon Free Zone","Panama",-0- 
1457,941,-0- ,-0- ,"Panama",-0- 
1460,942,-0- ,-0- ,"Panama",-0- 
1479,956,-0- ,"Kingston","Jamaica",-0- 
1480,957,-0- ,-0- ,"Panama",-0- 
1543,989,-0- ,"Frankfurt","Germany",-0- 
1544,990,"Paseo de Pereda 36, Apartado 141","39004 Santander","Spain",-0- 
1554,996,"Chuo-Ku, Akasaki-Chuo 1-1 Akasaki Bldg.","Tokyo","Japan",-0- 
1555,997,"Boezembolcht 23","Rotterdam","Netherlands",-0- 
1570,1006,-0- ,-0- ,"Liechtenstein",-0- 
1571,1007,"33 Akti Maouli","185-35 Pireas (Piraeus)","Greece",-0- 
1572,1008,-0- ,-0- ,"Panama",-0- 
1597,1017,-0- ,"Vaduz","Liechtenstein",-0- 
1619,1031,-0- ,-0- ,-0- ,-0- 
1625,1037,-0- ,"Tokyo","Japan",-0- 
1626,1038,"Edificio Saldivar","Panama City","Panama",-0- 
1627,1039,"Cubanatur, Baja California 255, Edificio B, Oficina 103","Condesa 06500, Mexico, D.F.","Mexico",-0- 
1633,1045,-0- ,-0- ,"Panama",-0- 
1636,1048,-0- ,-0- ,-0- ,-0- 
1639,1050,-0- ,"Limassol","Cyprus",-0- 
1641,1052,-0- ,-0- ,"Panama",-0- 
1644,1055,-0- ,-0- ,"Panama",-0- 
1650,1061,-0- ,-0- ,"Panama",-0- 
1651,1062,-0- ,-0- ,"Panama",-0- 
1655,1064,-0- ,-0- ,"Panama",-0- 
1656,1065,-0- ,-0- ,"Panama",-0- 
1657,1066,-0- ,-0- ,"Panama",-0- 
1658,1067,-0- ,-0- ,"France",-0- 
1659,1068,-0- ,-0- ,"Italy",-0- 
1660,1069,-0- ,-0- ,"Spain",-0- 
1661,1070,-0- ,"Panama City","Panama",-0- 
1673,1080,-0- ,-0- ,-0- ,-0- 
1675,1081,"171 Old Bakery Street","Valletta","Malta",-0- 
1675,1082,"c/o Anglo Caribbean Shipping Co., Ltd., 4th Floor, South Phase 2, South Quay Plaza 2, 183 Marsh Wall","London  E14 9SH","United Kingdom",-0- 
1676,1083,-0- ,-0- ,"Panama",-0- 
1694,1096,-0- ,"Medira","Mexico",-0- 
1700,1100,-0- ,-0- ,"Mexico",-0- 
1701,1101,"1010 O Rue Ste. Catherine","Montreal PQ H303 IGI","Canada",-0- 
1702,1102,-0- ,-0- ,"Spain",-0- 
1703,1103,-0- ,-0- ,"Panama",-0- 
1704,1104,-0- ,-0- ,"Jamaica",-0- 
1736,1134,"Avenida Insurgentes Sur No. 421, Bloque B Despacho 404, C.P. 06l00","Mexico, D.F.","Mexico",-0- 
1737,1135,-0- ,"Quito","Ecuador",-0- 
1751,1147,-0- ,"Vienna","Austria",-0- 
1756,1152,-0- ,-0- ,"Panama",-0- 
1779,1172,-0- ,-0- ,-0- ,-0- 
1795,1183,-0- ,-0- ,"Panama",-0- 
1798,1185,-0- ,-0- ,"Panama",-0- 
1799,1186,-0- ,"Panama City","Panama",-0- 
1809,1195,-0- ,"Panama City","Panama",-0- 
1810,1196,-0- ,-0- ,"Panama",-0- 
1811,1197,"20 Ironmonger Lane","London  EC2V 8EY","United Kingdom",-0- 
1812,1198,-0- ,-0- ,"Panama",-0- 
1813,1199,-0- ,"Paris","France",-0- 
1814,1200,-0- ,-0- ,"Panama",-0- 
1815,1201,-0- ,-0- ,-0- ,-0- 
1844,1213,-0- ,-0- ,"Panama",-0- 
1863,1226,-0- ,-0- ,"Panama",-0- 
1864,1227,"Avenida Insurgentes Sur No. 421, Bloque B Despacho 404","C.P. 06100, Mexico, D.F.","Mexico",-0- 
1887,1236,-0- ,-0- ,"Panama",-0- 
1888,1237,-0- ,-0- ,"Panama",-0- 
1903,1249,-0- ,-0- ,"Panama",-0- 
1908,1254,"Edificio Balmoral, 82 Via Argentina","Panama City","Panama",-0- 
1909,1255,-0- ,-0- ,"Venezuela",-0- 
1910,1256,-0- ,"Felicidad","Panama",-0- 
1965,1283,-0- ,"Milan","Italy",-0- 
2003,1312,-0- ,-0- ,-0- ,-0- 
2005,1314,-0- ,"Prague","Czech Republic",-0- 
2011,1318,-0- ,"Panama City","Panama",-0- 
2031,1334,-0- ,"Panama City","Panama",-0- 
2059,1351,"Calle 34 No. 4-50, Office 301","Panama City","Panama",-0- 
2060,1352,"Calle 34 No. 4-50, Office 301","Panama City","Panama",-0- 
2075,1368,-0- ,-0- ,"Panama",-0- 
2087,1376,"20 Ironmonger Lane","London  EC2V 8EF","United Kingdom",-0- 
2089,1378,"Federico Boyd Avenue & 51 Street","Panama City","Panama",-0- 
2090,1379,-0- ,-0- ,"Panama",-0- 
2095,1381,"Panama, c/o Anglo Caribbean Shipping Co., Ltd., 4th Floor, South Phase 2, South Quay Plaza, 183 Mars","London  E14 9SH","United Kingdom",-0- 
2096,1382,-0- ,-0- ,"Panama",-0- 
2100,1385,-0- ,"Hialeah, FL","United States",-0- 
2103,1388,"Edificio Banco de Boston","Panama City","Panama",-0- 
2109,1394,"Edificio Saldivar","Panama City","Panama",-0- 
2110,1395,"Lietzenburger Strasse 51","Berlin","Germany",-0- 
2114,1397,-0- ,-0- ,"Panama",-0- 
2159,1414,"1202 Carrian Center, 151 Gloucester Road","Wanchai","Hong Kong",-0- 
2166,1420,-0- ,-0- ,"Panama",-0- 
2167,1421,"20 Ironmonger Lane","London  EC2V 8EY","United Kingdom",-0- 
2182,1428,"Apartment 7B Torre Mar Building, Punta Paitilla Area","Panama City","Panama",-0- 
2183,1429,"France Field","Colon Free Zone","Panama",-0- 
2184,1430,-0- ,-0- ,"Spain",-0- 
2186,1431,-0- ,"Cancun","Mexico",-0- 
2187,1432,-0- ,"Guadalajara","Mexico",-0- 
2188,1433,-0- ,"Mexico City","Mexico",-0- 
2189,1434,-0- ,"Monterey","Mexico",-0- 
2190,1435,-0- ,"Roma","Mexico",-0- 
2227,1460,-0- ,"Merida","Mexico",-0- 
2228,1461,-0- ,"Tokyo","Japan",-0- 
2674,1832,-0- ,-0- ,-0- ,-0- 
2675,1833,-0- ,-0- ,-0- ,-0- 
2676,1834,-0- ,-0- ,-0- ,-0- 
2677,1835,-0- ,-0- ,"Egypt",-0- 
2678,1836,-0- ,-0- ,-0- ,-0- 
2679,1837,-0- ,-0- ,-0- ,-0- 
2680,1838,-0- ,-0- ,-0- ,-0- 
2681,1839,-0- ,-0- ,-0- ,-0- 
2682,1840,-0- ,-0- ,-0- ,-0- 
2683,1841,-0- ,-0- ,-0- ,-0- 
2684,1842,-0- ,-0- ,-0- ,-0- 
2685,1843,-0- ,-0- ,-0- ,-0- 
2686,1844,-0- ,-0- ,-0- ,-0- 
2687,1845,-0- ,-0- ,-0- ,-0- 
2688,1846,-0- ,-0- ,-0- ,-0- 
2689,1847,-0- ,-0- ,-0- ,-0- 
2690,1848,-0- ,-0- ,-0- ,-0- 
2691,1849,-0- ,"Gaza Strip","undetermined",-0- 
2831,1965,"57 Rue du Rhone","CH-1204 Geneva","Switzerland",-0- 
2831,7520,-0- ,-0- ,"Panama",-0- 
3748,1982,-0- ,"Fort Saskatchewan, AB","Canada",-0- 
3749,1983,-0- ,-0- ,"Cuba",-0- 
3750,1984,-0- ,"Fort Saskatchewan, AB","Canada",-0- 
3751,1985,-0- ,-0- ,"Cuba",-0- 
3753,1987,"9229 South Thomas","Bridgeview, IL  60455","United States",-0- 
3753,1988,"P.O. Box 2578","Bridgeview, IL  60455","United States",-0- 
3753,1989,"P.O. Box 2616","Bridgeview, IL  60455-661","United States",-0- 
3753,1990,-0- ,-0- ,"Israel",-0- 
3754,1991,-0- ,-0- ,-0- ,-0- 
4106,2006,-0- ,"Cali","Colombia",-0- 
4107,2007,-0- ,"Cali","Colombia",-0- 
4108,2008,"Casa No. 19, Avenida Lago, Ciudad Jardin","Cali","Colombia",-0- 
4109,2009,-0- ,"Cali","Colombia",-0- 
4110,2010,"Avenida 7 No. 112-38 of. 104","Bogota","Colombia",-0- 
4111,2011,"Avenida Roosevelt entre carreras 38 y 38A esquinas","Cali","Colombia",-0- 
4112,2012,"Calle 68 52-05","Bogota","Colombia",-0- 
4112,2013,"Calle 10 No. 32A-64","Bogota","Colombia",-0- 
4113,2014,"Carrera 7 13-132 piso 4","Cali","Colombia",-0- 
4113,2015,"Calle 10 No. 4-47 Piso 19","Cali","Colombia",-0- 
4113,2016,"Calle 18 121-130","Cali","Colombia",-0- 
4113,2017,"Calle 14 6-66","Cali","Colombia",-0- 
4113,2018,"Carrera 10  11-71","Cali","Colombia",-0- 
4113,2019,"Carrera 7A 14-25 piso 2","Cali","Colombia",-0- 
4113,2020,"Carrera 99 No. 46 A-10 Blg 6 y 8","Bogota","Colombia",-0- 
4114,2021,"Calle 5C 41-30","Cali","Colombia",-0- 
4114,2022,"Carrera 30-5-12","Cali","Colombia",-0- 
4114,2023,"Carrera 26 5B-65","Cali","Colombia",-0- 
4115,2024,"Local Cerete","Barranquilla","Colombia",-0- 
4115,2025,"Avenida Pedro Heredia","Barranquilla","Colombia",-0- 
4115,2026,"Local de Riohacha","Barranquilla","Colombia",-0- 
4116,2027,"Local No. 2","Cucuta","Colombia",-0- 
4116,2028,"Local No. 1","Bucaramanga","Colombia",-0- 
4116,2029,"Local No. 1","Cucuta","Colombia",-0- 
4116,2030,"Local 201","Valledupar","Colombia",-0- 
4116,2031,"Local No. 6","Cucuta","Colombia",-0- 
4116,2032,"Local No. 7","Cucuta","Colombia",-0- 
4116,2033,"Local No. 9","Cucuta","Colombia",-0- 
4117,2034,"Local Comuneros No. 20","Cali","Colombia",-0- 
4117,2035,"Barrio Siloe","Cali","Colombia",-0- 
4117,2036,"Calle 13 #6-85","Cali","Colombia",-0- 
4117,2037,"Calle 3 #4-02 B/Ventura","Cali","Colombia",-0- 
4117,2038,"Santander de Quilichao","Cali","Colombia",-0- 
4117,2039,"Local del Poblado No. 17","Cali","Colombia",-0- 
4118,2040,-0- ,"Neiva","Colombia",-0- 
4119,2041,"Calle 18 #26-40","Pasto","Colombia",-0- 
4119,2042,"Local No. 13","Puerto Asis","Colombia",-0- 
4119,2043,"Local No. 6","Pasto","Colombia",-0- 
4120,2044,"Local Dos Quebradas","Pereira","Colombia",-0- 
4120,2045,"Local Cajamarca","Pereira","Colombia",-0- 
4120,2046,"Local la Virginia","Pereira","Colombia",-0- 
4120,2047,"Local Santa Rosa de Cabal","Pereira","Colombia",-0- 
4121,2048,"Apartado Aereo 10077","Cali","Colombia",-0- 
4121,2049,"Carrera 4 12-41 of. 1403, Edificio Seguros Bolivar","Cali","Colombia",-0- 
4122,2050,"Carrera 4 12-41 piso 14 y 15, Edificio Seguros Bolivar","Cali","Colombia",-0- 
4122,2051,"Calle 18 106-98 of. 201/202","Cali","Colombia",-0- 
4122,2052,"Carrera 84 17-29","Cali","Colombia",-0- 
4123,2053,"Carrera 4 12-41 piso 15, Edificio Seguros Bolivar","Cali","Colombia",-0- 
4123,2054,"Paso de la Bolsa, Jamundi, Valle del Cauca","Cali","Colombia",-0- 
4124,2055,"Carrera 4 12-41 piso 15, Edificio Seguros Bolivar","Cali","Colombia",-0- 
4124,2056,"San Pedro","Valle del Cauca","Colombia",-0- 
4125,2057,"Carrera 24F Oeste 3-70","Cali","Colombia",-0- 
4125,2058,"Avenida Canasgordas con Avenida Guali Casa 35","Cali","Colombia",-0- 
4125,2059,"Carrera 4 12-41 piso 15, Edificio Seguros Bolivar","Cali","Colombia",-0- 
4125,2060,"Carrera 38A No. 5E-31, Edificio Conquistadores","Cali","Colombia",-0- 
4126,2061,"Calle 13A 64-50 F102","Cali","Colombia",-0- 
4126,2062,"Carrera 4 12-41 of. 1501, Edificio Seguros Bolivar","Cali","Colombia",-0- 
4126,2063,"Calle 13 3-32 piso 13","Cali","Colombia",-0- 
4126,2064,"Calle 18, No. 106-96 of. 201/202","Cali","Colombia",-0- 
4127,2065,-0- ,"Bogota","Colombia",-0- 
4127,2066,"Avenida Roosevelt No. 38-32, piso 2","Cali","Colombia",-0- 
4128,2067,"Avenida 4N 6N-67 of. 601","Cali","Colombia",-0- 
4128,2068,"Avenida 6AN 23DN-16 of. 402","Cali","Colombia",-0- 
4128,2069,"Avenida 6AN 18-69 1-128","Cali","Colombia",-0- 
4128,2070,"Club El Remanso","Jamundi","Colombia",-0- 
4130,2073,"Calle 16B No. 114-80 Casa 2","Cali","Colombia",-0- 
4130,2074,"Carrera 2 Oeste 5-46 apt/of 503","Cali","Colombia",-0- 
4131,2075,"Avenida 4N 6N-67 of. 601","Cali","Colombia",-0- 
4131,2076,"Avenida 6N 23DN-16 of. 202, 301, 302, 401, 402","Cali","Colombia",-0- 
4132,2077,"Calle 5 66B-49 piso 3","Cali","Colombia",-0- 
4132,2078,"Calle 13 3-32 piso 14","Cali","Colombia",-0- 
4132,2079,"Calle 5 Oeste 3A-26 apt/of 103, 301, 404, 502, 503","Cali","Colombia",-0- 
4132,2080,"Calle 7 Oeste 25-48","Cali","Colombia",-0- 
4132,2081,"Calle 9 No. 46-69 Of. 302","Cali","Colombia",-0- 
4132,2082,"Carrera 4 12-41 piso 14, Edificio Seguros Bolivar","Cali","Colombia",-0- 
4132,2083,"Carrera 2 Oeste 5-46 of 502","Cali","Colombia",-0- 
4132,2084,"Carrera 4 12-41 piso 15, Edificio Seguros Bolivar","Cali","Colombia",-0- 
4133,2085,"Calle 12B 27 39","Bogota","Colombia",-0- 
4134,2086,"Calle 17A 28 43","Bogota","Colombia",-0- 
4134,2087,"Calle 16 28A 51","Bogota","Colombia",-0- 
4134,2088,"Calle 16 28A 57","Bogota","Colombia",-0- 
4134,2089,"Calle 17 28A-43","Bogota","Colombia",-0- 
4135,2090,"Carrera 3 No. 12-40 of. 504","Cali","Colombia",-0- 
4135,2091,"Carrera 3 No. 10-20 of. 202","Cali","Colombia",-0- 
4136,2092,-0- ,"Cali","Colombia",-0- 
4137,2093,-0- ,"Cali","Colombia",-0- 
4138,2094,-0- ,"Cali","Colombia",-0- 
4139,2095,"Carrera 4 No. 4-21 of. 1501, Edificio Seguros Bolivar","Cali","Colombia",-0- 
4139,2096,"Apartado Aereo 10077","Cali","Colombia",-0- 
4140,2097,-0- ,"Cali","Colombia",-0- 
4141,2098,-0- ,"Cali","Colombia",-0- 
4142,2099,"Carrera 4 No. 12-41 of. 1402, Edificio Seguros Bolivar","Cali","Colombia",-0- 
4142,2100,"Calle 1A 62A-120 2305","Cali","Colombia",-0- 
4142,2101,"Apartado Aereo 10077","Cali","Colombia",-0- 
4142,2102,"Calle 1A 62A-120 4114","Cali","Colombia",-0- 
4142,2103,"Calle 1A 62A-120 2418","Cali","Colombia",-0- 
4142,2104,"Carrera 64 1B-83","Cali","Colombia",-0- 
4142,2105,"Carrera 4 No. 12-41 of. 1401","Cali","Colombia",-0- 
4142,2106,"Carrera 4 No. 12-41 of. 1403","Cali","Colombia",-0- 
4142,2107,"Carrera 64 1C-63","Cali","Colombia",-0- 
4142,2108,"Calle 13 3-22 piso 12 y piso 14","Cali","Colombia",-0- 
4142,2109,"Calle 1A 62A-120 6245","Cali","Colombia",-0- 
4142,2110,"Calle 1A 62A-120","Cali","Colombia",-0- 
4142,2111,"Calle 1A 62A-120 B2 108","Cali","Colombia",-0- 
4143,2112,"c/o INTERAMERICA DE CONSTRUCCIONES S.A.","Cali","Colombia",-0- 
4143,2113,"Casa No. 19, Avenida Lago, Ciudad Jardin","Cali","Colombia",-0- 
4143,2114,"c/o LABORATORIOS KRESSFOR DE COLOMBIA S.A.","Bogota","Colombia",-0- 
4143,2115,"c/o INVERSIONES ARA LTDA.","Cali","Colombia",-0- 
4143,2116,"c/o VALORES MOBILIARIOS DE OCCIDENTE","Bogota","Colombia",-0- 
4143,4709,"c/o CREDIREBAJA S.A.","Cali","Colombia",-0- 
4143,6076,"c/o DECAFARMA S.A.","Bogota","Colombia",-0- 
4144,2117,"c/o DISTRIBUIDORA DE DROGAS CONDOR S.A.","Bogota","Colombia",-0- 
4145,2118,"c/o INVERSIONES SANTA LTDA.","Cali","Colombia",-0- 
4145,2119,"c/o INMOBILIARIA SAMARIA LTDA.","Cali","Colombia",-0- 
4145,2120,"c/o SOCIEDAD CONSTRUCTORA LA CASCADA S.A.","Cali","Colombia",-0- 
4145,9755,"Carrera 21 No. 9E-48","Cali","Colombia",-0- 
4146,2121,"c/o INMOBILIARIA AURORA LTDA.","Cali","Colombia",-0- 
4146,2122,"c/o SOCIEDAD CONSTRUCTORA LA CASCADA S.A.","Cali","Colombia",-0- 
4146,2123,"c/o INVERSIONES SANTA LTDA.","Cali","Colombia",-0- 
