Issue_Sym_Id,Issue_Short_Nm,Status,Issue_Type_Cd
ANTS,ANTS SOFTWARE INC,ACTIVE,Common Stock
ANTX,ACUNETX INC,ACTIVE,Common Stock
AOGC,AUSTRALIAN OIL & GAS,ACTIVE,Common Stock
AOGN,AVALON OIL & GAS INC,ACTIVE,Common Stock
AOLS,AEOLUS PHARMACEUTICL,ACTIVE,Common Stock
AOME,AOM MINERALS LTD.,ELIGIBLE,Common Stock
AOTL,AEROTELESIS INC,ACTIVE,Common Stock
AOXY,ADVANCED OXYGEN TECH,ACTIVE,Common Stock
APDN,APPLIED DNA SCIENCES,ACTIVE,Common Stock
APDQ,"APD ANTIQUITIES, INC",ELIGIBLE,Common Stock
APFB,ATLANTIC PACIFIC BNK,ACTIVE,Common Stock
APGO,AAMPRO GROUP INC,ACTIVE,Common Stock
APHY,ASSURED PHARMACY INC,ACTIVE,Common Stock
APIO,API NANOTRONICS CORP,ACTIVE,Common Stock
APLL,APOLO GOLD & ENERGY,ACTIVE,Common Stock
APMD,APPLIED MED DEVICES,ACTIVE,Common Stock
APNO,ALPHA INNOTECH,ACTIVE,Common Stock
APNS,APPLIED NEUROSOLUTNS,ACTIVE,Common Stock
APNX,ALPINE AIR EXPRESS,ACTIVE,Common Stock
APPWM,APPALACHIAN PWR 4 1/2 PFD,ACTIVE,Preferred Stock
APRCP,ALABAMA PWR 4.52 PFD,ACTIVE,Preferred Stock
APRDM,ALABAMA PWR 4.92 PD,ACTIVE,Preferred Stock
APRDN,ALABAMA PWR 4.20 PD,ACTIVE,Preferred Stock
APRDO,ALABAMA PWR 4.64 PD,ACTIVE,Preferred Stock
APRDP,ALABAMA PWR 4.72 PD,ACTIVE,Preferred Stock
APTD,ALPHATRADE.COM,ACTIVE,Common Stock
APTI,AMERICAN POST TENSN,ACTIVE,Common Stock
APVE,A S P VENTURES CORPORATION,ACTIVE,Common Stock
APVL,APIVA VENTURES LTD,ACTIVE,Ordinary Shares
APXR,APEX RESOURCES GRP,ACTIVE,Common Stock
AQAS,AQUA SOCIETY INC,ACTIVE,Common Stock
AQEVF,AQUASOL ENVIROTECH,ACTIVE,Ordinary Shares
AQNM,AQUENTIUM INC,ACTIVE,Common Stock
ARBE,ARBOR ENTECH CORP,ACTIVE,Common Stock
ARBV,AMERICAN RIVIERA BNK,ACTIVE,Common Stock
ARDM,ARADIGM CORP,ACTIVE,Common Stock
AREN,ALLSTAR RESTAURANTS,ELIGIBLE,Common Stock
ARGA,AURIGA LABORATORIES,ACTIVE,Common Stock
ARGL,ARGYLE SECURITY INC,ACTIVE,Common Stock
ARGLU,ARGYLE SECURITY UT,ACTIVE,Unit
ARGLW,ARGYLE SECURITY WT,ACTIVE,Warrant
ARGY,ALTERNATE ENERGY CP,ACTIVE,Common Stock
ARHN,ARCHON CORP,ACTIVE,Common Stock
ARIS,ARI NETWORK SVCS,ACTIVE,Common Stock
ARME,ARMOR ELECTRIC INC,ACTIVE,Common Stock
AROC,AUROR CAPITAL CORP.,ELIGIBLE,Common Stock
ARRRF,"ARRIS RESOURCES, INC",ACTIVE,Ordinary Shares
ARSC,AMERICAN SECURTY RES,ACTIVE,Common Stock
ARSD,ARABIAN AMER DEV CO,ACTIVE,Common Stock
ARTB,ART BOUTIQUE INC,ACTIVE,Common Stock
ARTD,ARTISTDIRECT INC,ACTIVE,Common Stock
ARTI,ARTFEST INTL INC,ACTIVE,Common Stock
ARTNB,ARTESIAN RESOURCES CORP CL B,ACTIVE,Common Stock
ARUR,AMERICAN RES TECHS,ACTIVE,Common Stock
ARVI,ARVANA INC,ACTIVE,Common Stock
ARVY,ALLIANCE RECOVERY,ACTIVE,Common Stock
ARWD,ARROW RESOURCES DEV,ACTIVE,Common Stock
ARXG,AURORA GOLD CORP,ACTIVE,Common Stock
ASAM,ASSURANCEAMERICA CP,ACTIVE,Common Stock
ASAQ,ASCEND ACQUISITION,ACTIVE,Common Stock
ASAQU,ASCEND ACQUISITN UT,ACTIVE,Unit
ASAQW,ASCEND ACQUISITN WT,ACTIVE,Warrant
ASDI,ASSURE DATA INC,ACTIVE,Common Stock
ASDS,ASCENDANT SOLUTIONS,ACTIVE,Common Stock
ASFE,AF FINANCIAL GROUP,ACTIVE,Common Stock
ASFG,AFTERSOFT GROUP INC,ACTIVE,Common Stock
ASGMF,AVINO SILVER & GOLD,ACTIVE,Ordinary Shares
ASHI,ASAP SHOW INC,ACTIVE,Common Stock
ASIQ,ASI ENTERTAINMENT,ACTIVE,Common Stock
ASIT,ASI TECHNOLOGY CORP,ACTIVE,Common Stock
ASMH,ASSOCIATED MEDIA HLD,ACTIVE,Common Stock
ASND,ASIANADA INC,ACTIVE,Common Stock
ASPB,ASPEN RACING STABLES,ELIGIBLE,Common Stock
ASPN,ASPEN EXPLORATION CORP NEW,ACTIVE,Common Stock
ASRG,AMERICAN SURGICAL,ACTIVE,Common Stock
ASTR,ASTRALIS  LTD,ACTIVE,Common Stock
ASVN,ALLIED SECURITY INNO,ELIGIBLE,Common Stock
ASVP,AMERICAN TONERSERV,ACTIVE,Common Stock
ASWD,AMERICAN SOUTHWEST,ACTIVE,Common Stock
ASWRF,ANGLO SWISS RESOURCE,ACTIVE,Ordinary Shares
ASXSF,ALBERTA STAR DEV,ACTIVE,Ordinary Shares
ASYI,ALTERNET SYSTEMS INC,ACTIVE,Common Stock
ATBA,ATLANTIC BANCSHARES,ACTIVE,Common Stock
ATCT,ATS CORPORATION,ACTIVE,Common Stock
ATCTU,ATS CORPORATION UT,ACTIVE,Unit
ATCTW,ATS CORPORATION WT,ACTIVE,Warrant
ATFS,ALTRUST FINANCL SVCS,ACTIVE,Common Stock
ATGR,AMERICAN TECHS,ACTIVE,Common Stock
ATGU,ATOMIC GUPPY INC,ACTIVE,Common Stock
ATNOD,ATLANTIS TECH NEW,ACTIVE,Common Stock
ATPTZ,ALL STATE PPTY LP UT,ACTIVE,Common Stock
ATROB,ASTRONICS CORP CL B,ACTIVE,Common Stock
ATSX,ATSI COMM INC,ACTIVE,Common Stock
ATTC,ATLANTICA INC,ACTIVE,Common Stock
ATTG,ASTRATA GROUP INC,ACTIVE,Common Stock
ATVG,ASIA PREMIUM TV GRP,ACTIVE,Common Stock
ATWO,A21 INC,ACTIVE,Common Stock
ATYG,ATLAS TECHNOLOGY GRP,ACTIVE,Common Stock
AUCAF,AUSTRALIAN CANAD OIL,ACTIVE,Ordinary Shares
AUDY,AMNUTRIA DAIRY INC,ACTIVE,Common Stock
AUFI,AUSTRALIAN FOREST IN,ACTIVE,Common Stock
AULO,AURELIO RESOURCE CP,ACTIVE,Common Stock
AUNB,AMERICAS UNITED BK,ACTIVE,Common Stock
AUNI,AMERICAN UNITY INVES,ACTIVE,Common Stock
AURMF,AURORA METALS BVI,ACTIVE,Ordinary Shares
AUTO,AUTOINFO INC,ACTIVE,Common Stock
AUUM,AMERICAN URANIUM NV,ACTIVE,Common Stock
AUXO,AUXILIO INC,ACTIVE,Common Stock
AVAF,AVASOFT INC,ACTIVE,Common Stock
AVBK,APPLE VALLEY BK COM,ACTIVE,Common Stock
AVCS,AMER VANTAGE COS,ACTIVE,Common Stock
AVEE,ADVANT-E CORPORATION,ACTIVE,Common Stock
AVGG,ADVANCED TECH GRP,ACTIVE,Common Stock
AVGO,AVICENA GROUP INC,ACTIVE,Common Stock
AVIT,AVANI INTL GRP NEW,ACTIVE,Common Stock
AVLY,ALLEGHENY VAL BCP PA,ACTIVE,Common Stock
AVMD,ADVANCED MED INST,ACTIVE,Common Stock
AVNA,ADVANCE NANOTECH,ACTIVE,Common Stock
AVNT,AVENTURA HLDGS INC,ACTIVE,Common Stock
AVNU,AVENUE GROUP INC,ACTIVE,Common Stock
AVOX,AVEROX INC,ACTIVE,Common Stock
AVPI,AVP INC,ACTIVE,Common Stock
AVRO,AVERION INTL CORP,ACTIVE,Common Stock
AVSO,AVATECH SOLUTIONS,ACTIVE,Common Stock
AVSY,AVATAR SYS INC,ACTIVE,Common Stock
AVTI,AVITAR INC,ACTIVE,Common Stock
AVUG,AVIATION UPGRADE TEC,ACTIVE,Common Stock
AVVWE,AVVAA WORLD HLTHCR,ACTIVE,Common Stock
AVWI,ACTIONVIEW INTL INC,ACTIVE,Common Stock
AVXL,ANAVEX LIFE SCIENCES,ACTIVE,Common Stock
AVXT,AVAX TECHS INC,ACTIVE,Common Stock
AWEC,AMERIWEST ENERGY CP,ACTIVE,Common Stock
AWLD,ACTIVEWORLDS CORP,ACTIVE,Common Stock
AWMM,ATWOOD MINERAL & MNG,ACTIVE,Common Stock
AWNA,ATLANTIC WINE AGENCY,ACTIVE,Common Stock
AWNE,AMERICAS WIND ENERGY,ACTIVE,Common Stock
AWSH,AMERICAN WENSHEN STL,ACTIVE,Common Stock
AWWC,ACCESS WW COMMUN,ACTIVE,Common Stock
AWYI,ARIEL WAY INC,ACTIVE,Common Stock
AXIO,AXIOM III INC,ACTIVE,Common Stock
AXREF,AMARC RESOURCES LTD,ACTIVE,Ordinary Shares
AXRX,AMEXDRUG CP,ACTIVE,Common Stock
AXSI,AXCESS INTL INC,ACTIVE,Common Stock
AXVCE,AXIAL VECTOR ENGINE,ACTIVE,Common Stock
AXVEF,ACREX VENTURES LTD,ACTIVE,Ordinary Shares
AYSI,ALLOY STEEL INTL,ACTIVE,Common Stock
AYXC,"ALYNX, CO.",ACTIVE,Common Stock
AZGS,AZTEC OIL & GAS INC,ACTIVE,Common Stock
AZVN,AZTEK VENTURES INC,ACTIVE,Common Stock
BABB,BAB INC,ACTIVE,Common Stock
BAOB,BARABOO BANCORP INC,ACTIVE,Common Stock
BAQU,BENACQUISTA GALLERIE,ACTIVE,Common Stock
BAYK,BAY BANKS OF VIRGINI,ACTIVE,Common Stock
BBAL,NEW YORK HEALTH CARE,ACTIVE,Common Stock
BBAOE,BOMBAY CO INC,ACTIVE,Common Stock
BBBC,BEACH BUSINESS BK CA,ACTIVE,Common Stock
BBBI,BIRMINGHAM BLOOM BSH,ACTIVE,Common Stock
BBBK,BAKER BOYER BANCORP,ACTIVE,Common Stock
BBDS,BETTER BIODIESEL INC,ACTIVE,Common Stock
BBME,BORDER BANCSHARES ME,ACTIVE,Common Stock
BBMO,BBM HOLDINGS INC,ACTIVE,Common Stock
BBNG,BBN GLOBAL CONSULTNG,ACTIVE,Common Stock
BBYD,THE BABYDOT COMPANY,ACTIVE,Common Stock
BCAE,"BEST CARE, INC.",ACTIVE,Common Stock
BCAN,BK NEW CANAAN COM,ACTIVE,Common Stock
BCAS,BROADCASTER INC,ACTIVE,Common Stock
BCBF,BEACH COMM BNC (FL),ACTIVE,Common Stock
BCFT,BANCROFT URANIUM,ACTIVE,Common Stock
BCIS,BANCINSURANCE CP,ACTIVE,Common Stock
BCKE,BROOKLYN CHEESECAKE,ACTIVE,Common Stock
BCLI,BRAINSTORM CELL THER,ACTIVE,Common Stock
BCML,BAY COMMERCIAL BK CA,ACTIVE,Common Stock
BCRA,BIOCORAL INC,ACTIVE,Common Stock
BCST,BROADCAST INTL INC,ACTIVE,Common Stock
BCTE,BIG CAT ENERGY CORP,ACTIVE,Common Stock
BDEV,BUSINESS DEVELOPMENT,ACTIVE,Common Stock
BDFC,B&D FOOD CORP,ACTIVE,Common Stock
BDGE,BRIDGE BANCORP INC,ACTIVE,Common Stock
BDGF,BULLDOG FINANCIAL,ACTIVE,Common Stock
BDMHF,BLACK DIAMOND BRANDS,ACTIVE,Ordinary Shares
BDTE,BRENDAN TECHNOLOGIES,ACTIVE,Common Stock
BDYT,BODYTEL SCIENTIFIC I,ACTIVE,Common Stock
BEIC,BEICANG IRON & STEEL,ELIGIBLE,Common Stock
BEOB,BEO BANCORP (OR),ACTIVE,Common Stock
BERL,BERLINER COMMUNICATI,ACTIVE,Common Stock
BESE,BEESTON ENTERPR NEW,ACTIVE,Common Stock
BESV,BLAST ENERGY SERVICE,ACTIVE,Common Stock
BETM,AMERICAN WAGERING,ACTIVE,Common Stock
BEYV,BUCKEYE VENTURES INC,ACTIVE,Common Stock
BFCFB,B F C FINANCIAL CP B,ACTIVE,Common Stock
BFFI,BEN FRANKLIN FINANCL,ACTIVE,Common Stock
BFLM,BRIDGEFILMS INC.,ACTIVE,Common Stock
BFNH,BIOFORCE NANOSCIENCE,ACTIVE,Common Stock
BFRE,BLUEFIRE ETHANOL FUE,ACTIVE,Common Stock
BGAT,BLUEGATE CORPORATION,ACTIVE,Common Stock
BGBR,BIG BEAR MINING CORP,ACTIVE,Common Stock
BGES,BIO-BRIDGE SCIENCE,ACTIVE,Common Stock
BGVF,BANKGREENVILLE FINAN,ACTIVE,Common Stock
BHCG,BLACKHAWK CAP GR BDC,ACTIVE,Common Stock
BHNN,BAOSHINN CORPORATION,ELIGIBLE,Common Stock
BHRB,BURKE & HERBERT BK,ACTIVE,Common Stock
BHWB,BLACKHAWK BANCORP,ACTIVE,Common Stock
BHWF,BLACKHAWK FUND,ACTIVE,Common Stock
BHWX,BLACK HAWK EXPLORATN,ACTIVE,Common Stock
BICV,"BASIC SERVICES, INC.",ACTIVE,Common Stock
BIOHF,BIOTECH HOLDINGS LTD,ACTIVE,Ordinary Shares
BIPH,BIOPHAN TECHS INC,ACTIVE,Common Stock
BIPO,"BIP OIL, INC.",ACTIVE,Common Stock
BKMM,BEKEM METALS INC,ACTIVE,Common Stock
BKOT,BANK ON IT INC (CA),ACTIVE,Common Stock
BKRL,BANK REALE (WA),ACTIVE,Common Stock
BKSD,BROOKSIDE TECH HLDG,ACTIVE,Common Stock
BKUT,BANK UTICA NY,ACTIVE,Common Stock
BKUTK,BANK UTICA NY NONVTG,ACTIVE,Common Stock
BKYF,BANK KENTUCKY FINL CP (THE),ACTIVE,Common Stock
BKYI,BIO-KEY INTL INC,ACTIVE,Common Stock
BLFS,BIOLIFE SOLUTIONS,ACTIVE,Common Stock
BLGA,BLASTGARD INTL INC,ACTIVE,Common Stock
BLKC,BLINK COUTURE INC,ACTIVE,Common Stock
BLKE,BEAR LAKE RECREATION,ACTIVE,Common Stock
BLKIB,"BELK, INC. CL B",ACTIVE,Common Stock
BLRGZ,BLUE RIDGE RE-BIG BOULDER UT,ACTIVE,Unit
BLRV,BULLION RIVER GOLD,ACTIVE,Common Stock
BLSM,"BLS MEDIA, INC.",ELIGIBLE,Common Stock
BLSV,BALSAM VENTURES INC,ACTIVE,Common Stock
BLTA,BALTIA AIR LINES INC,ACTIVE,Common Stock
BMBN,BENCHMARK BANKSH VA,ACTIVE,Common Stock
BMGX,BATTLE MOUNTAIN GOLD,ACTIVE,Common Stock
BMLS,BURKE MILLS INC,ACTIVE,Common Stock
BMMUF,BLACK MOUNTAIN CAPTL,ACTIVE,Ordinary Shares
BMOD,BIOMODA INC,ACTIVE,Common Stock
BMRA,BIOMERICA INC,ACTIVE,Common Stock
BMRU,"BMR SOLUTIONS, INC.",ACTIVE,Common Stock
BMRX,BIOMETRX INC,ACTIVE,Common Stock
BMSN,BIO-MATRIX SCIENTIFI,ACTIVE,Common Stock
BMSTA,BEDMINSTER NATL CP A,ACTIVE,Common Stock
BMXI,BROOKMOUNT EXPLORATN,ACTIVE,Common Stock
BNDB,BOND LABORATORIES,ELIGIBLE,Common Stock
BNET,BION ENVIROMTL TECHS,ACTIVE,Common Stock
BNGOF,BINGO.COM LTD,ACTIVE,Ordinary Shares
BNNP,BANK OF NAPA NA (CA),ACTIVE,Common Stock
BNTNF,BONTAN CORP INC,ACTIVE,Ordinary Shares
BNVLF,BRADNER VENTURES LTD,ACTIVE,Ordinary Shares
BNXR,BRINX RESOURCES LTD,ACTIVE,Common Stock
BNYN,BANYAN CORP (OR),ACTIVE,Common Stock
BOBS,BRAZIL FAST FOODS,ACTIVE,Common Stock
BOCX,BIOCUREX INC,ACTIVE,Common Stock
BOGA,BASELINE OIL & GAS,ACTIVE,Common Stock
BOGS,BRIGHTON OIL & GAS,ACTIVE,Common Stock
BOJF,BANK OF THE JAME FNL,ACTIVE,Common Stock
BOKO,BOO KOO HOLDINGS,ACTIVE,Common Stock
BONC,BANK OF COMMERCE NC,ACTIVE,Common Stock
BORT,BOTETOURT BANKSHARES,ACTIVE,Common Stock
BOTH,BIOETHICS LIMITED,ACTIVE,Common Stock
BOVKF,BI-OPTIC VENTURES,ACTIVE,Ordinary Shares
BPEV,BIOPACK ENVIRONM SOL,ACTIVE,Common Stock
BPMA,BENDA PHARMACEUTICAL,ACTIVE,Common Stock
BPOM,BPO MANAGEMENT SERV,ACTIVE,Common Stock
BPREL,BIOPURE CP WT DW NEW,ACTIVE,Warrant
BPREW,BIOPURE CORP WT A,ACTIVE,Warrant
BPREZ,BIOPURE CP WT BW NEW,ACTIVE,Warrant
BPTR,BRANDPARTNERS GROUP,ACTIVE,Common Stock
BPWRF,BALATON POWER INC,ACTIVE,Ordinary Shares
BRBH,BIRCH BRANCH INC,ACTIVE,Common Stock
BRBW,BRUNSWICK BANCORP,ACTIVE,Common Stock
BRCI,BRAMPTON CREST INTL,ACTIVE,Common Stock
BRCO,BEARD COMPANY (THE),ACTIVE,Common Stock
BRCR,BROOKE CREDIT CORP,ACTIVE,Common Stock
